Unnamed: 0,Unnamed: 0.1,Date,Price,Open,High,Low,Vol,Change,prev_change,day,month,year,weekday,quarter,change_class,kfold
187,188,2015-04-06,17890.0,17760.0,17940.0,17650.0,100.9,0.66,-0.03,6,4,2015,0,2,0,0
188,189,2015-04-02,17760.0,17700.0,17810.0,17680.0,87.4,0.37,0.66,2,4,2015,3,2,0,0
189,190,2015-04-01,17700.0,17780.0,17780.0,17580.0,103.4,-0.44,0.37,1,4,2015,2,2,0,0
190,191,2015-03-31,17780.0,17970.0,17970.0,17780.0,119.5,-1.11,-0.44,31,3,2015,1,1,0,0
191,192,2015-03-30,17980.0,17730.0,18020.0,17730.0,104.06,1.49,-1.11,30,3,2015,0,1,1,0
192,193,2015-03-27,17710.0,17680.0,17730.0,17630.0,103.25,0.19,1.49,27,3,2015,4,1,0,0
193,194,2015-03-26,17680.0,17710.0,17760.0,17580.0,117.75,-0.23,0.19,26,3,2015,3,1,0,0
194,195,2015-03-25,17710.0,18020.0,18050.0,17710.0,106.56,-1.62,-0.23,25,3,2015,2,1,0,0
195,196,2015-03-24,18020.0,18110.0,18140.0,18020.0,87.2,-0.58,-1.62,24,3,2015,1,1,0,0
196,197,2015-03-23,18110.0,18140.0,18200.0,18110.0,98.0,-0.06,-0.58,23,3,2015,0,1,0,0
197,198,2015-03-20,18130.0,17970.0,18190.0,17970.0,334.2,0.94,-0.06,20,3,2015,4,1,0,0
198,199,2015-03-19,17950.0,18080.0,18080.0,17940.0,107.8,-0.65,0.94,19,3,2015,3,1,0,0
199,200,2015-03-18,18080.0,17840.0,18100.0,17700.0,131.0,1.27,-0.65,18,3,2015,2,1,1,0
200,201,2015-03-17,17860.0,17970.0,17970.0,17800.0,82.56,-0.71,1.27,17,3,2015,1,1,0,0
201,202,2015-03-16,17980.0,17740.0,17980.0,17740.0,101.75,1.29,-0.71,16,3,2015,0,1,1,0
202,203,2015-03-13,17740.0,17890.0,17890.0,17630.0,113.6,-0.82,1.29,13,3,2015,4,1,0,0
203,204,2015-03-12,17890.0,17630.0,17900.0,17620.0,111.56,1.47,-0.82,12,3,2015,3,1,1,0
204,205,2015-03-11,17630.0,17660.0,17730.0,17630.0,102.1,-0.16,1.47,11,3,2015,2,1,0,0
205,206,2015-03-10,17660.0,17980.0,17980.0,17660.0,120.44,-1.85,-0.16,10,3,2015,1,1,0,0
206,207,2015-03-09,18000.0,17860.0,18030.0,17860.0,85.8,0.78,-1.85,9,3,2015,0,1,0,0
207,208,2015-03-06,17860.0,18130.0,18130.0,17820.0,113.4,-1.54,0.78,6,3,2015,4,1,0,0
208,209,2015-03-05,18130.0,18100.0,18160.0,18080.0,75.8,0.21,-1.54,5,3,2015,3,1,0,0
209,210,2015-03-04,18100.0,18200.0,18200.0,18030.0,80.9,-0.58,0.21,4,3,2015,2,1,0,0
210,211,2015-03-03,18200.0,18290.0,18290.0,18140.0,83.8,-0.47,-0.58,3,3,2015,1,1,0,0
211,212,2015-03-02,18290.0,18130.0,18290.0,18130.0,89.8,0.86,-0.47,2,3,2015,0,1,0,0
212,213,2015-02-27,18130.0,18200.0,18200.0,18130.0,101.1,-0.45,0.86,27,2,2015,4,1,0,0
213,214,2015-02-26,18200.0,18220.0,18240.0,18160.0,81.5,-0.06,-0.45,26,2,2015,3,1,0,0
214,215,2015-02-25,18220.0,18200.0,18240.0,18180.0,80.5,0.08,-0.06,25,2,2015,2,1,0,0
215,216,2015-02-24,18200.0,18110.0,18220.0,18100.0,79.3,0.51,0.08,24,2,2015,1,1,0,0
216,217,2015-02-23,18110.0,18140.0,18140.0,18050.0,83.7,-0.13,0.51,23,2,2015,0,1,0,0
217,218,2015-02-20,18140.0,17980.0,18140.0,17870.0,111.4,0.86,-0.13,20,2,2015,4,1,0,0
218,219,2015-02-19,17980.0,18030.0,18030.0,17920.0,79.1,-0.24,0.86,19,2,2015,3,1,0,0
219,220,2015-02-18,18030.0,18050.0,18050.0,17980.0,75.06,-0.1,-0.24,18,2,2015,2,1,0,0
220,221,2015-02-17,18050.0,18020.0,18050.0,17950.0,98.75,0.16,-0.1,17,2,2015,1,1,0,0
221,222,2015-02-13,18020.0,17970.0,18030.0,17970.0,85.25,0.26,0.16,13,2,2015,4,1,0,0
222,223,2015-02-12,17970.0,17860.0,17970.0,17860.0,117.2,0.62,0.26,12,2,2015,3,1,0,0
223,224,2015-02-11,17860.0,17870.0,17900.0,17760.0,89.9,-0.04,0.62,11,2,2015,2,1,0,0
224,225,2015-02-10,17870.0,17740.0,17890.0,17730.0,89.94,0.79,-0.04,10,2,2015,1,1,0,0
225,226,2015-02-09,17730.0,17820.0,17820.0,17680.0,81.56,-0.53,0.79,9,2,2015,0,1,0,0
226,227,2015-02-06,17820.0,17890.0,17950.0,17760.0,93.6,-0.34,-0.53,6,2,2015,4,1,0,0
227,228,2015-02-05,17890.0,17680.0,17890.0,17680.0,79.9,1.2,-0.34,5,2,2015,3,1,1,0
228,229,2015-02-04,17680.0,17660.0,17780.0,17600.0,102.56,0.04,1.2,4,2,2015,2,1,0,0
229,230,2015-02-03,17660.0,17380.0,17660.0,17380.0,112.9,1.76,0.04,3,2,2015,1,1,1,0
230,231,2015-02-02,17360.0,17170.0,17360.0,17040.0,108.06,1.14,1.76,2,2,2015,0,1,1,0
231,232,2015-01-30,17170.0,17420.0,17420.0,17150.0,168.5,-1.45,1.14,30,1,2015,4,1,0,0
232,233,2015-01-29,17420.0,17200.0,17440.0,17140.0,111.7,1.31,-1.45,29,1,2015,3,1,1,0
