,Unnamed: 0,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,return,ewm_mean_5,ewm_std_5,roll_mean_5,roll_std_5,roll_min_5,roll_max_5,roll_range_5,roll_mean_s_5,roll_std_s_5,roll_min_s_5,roll_max_s_5,roll_range_s_5,roll_min_abs_5,roll_range_sbs_5,roll_q10_5,roll_q25_5,roll_q50_5,roll_q75_5,roll_q90_5,mean_abs_chg5,day,month,year,quarter,is_holiday,shifted_change,return_class
20,20,27.98,28.05,27.62,27.98,174585488,USD,40.72,1,29.45,27.52,31.39,-0.294,15.39,26.86,18.16,-120.1,92,60,-32.0,0.0208,0.0020021446580753485,0.02364819854663142,-0.007948064804077148,0.0276156354783558,-0.044891357421875,0.0207977294921875,0.0656890869140625,-0.0044351577758789075,0.013680290760973095,-0.0234832763671875,0.01453399658203125,0.03801727294921875,0.044891357421875,-0.002685546875,-0.02938690185546875,-0.0196685791015625,-0.0025010108947753906,0.009191811084747314,0.015160369873046873,0.0,2,2,2010,1,0,-0.00035739999999999996,3
21,21,27.88,28.6,27.77,28.45,153831920,USD,41.12,2,29.34,27.44,31.25,-0.2969,18.77,25.08,17.89,-82.4,88,56,-32.0,-0.02348,-0.006494131271978454,0.02352084444670426,-0.007111883163452149,0.0269240353238847,-0.044891357421875,0.0207977294921875,0.0656890869140625,0.0041402816772460925,0.01210273502918043,-0.0082244873046875,0.0193939208984375,0.027618408203125,0.044891357421875,0.0125732421875,-0.02562408447265625,-0.007151603698730469,-0.0007132291793823242,0.013994216918945312,0.0195343017578125,0.0,3,2,2010,1,0,0.0208,1
22,22,28.1,28.34,27.38,27.44,189412944,USD,37.62,3,29.2,27.17,31.25,-0.377,17.16,26.08,18.08,-109.25,84,52,-32.0,0.014534,0.0005158693039739814,0.022172838224788317,0.004773187637329103,0.017568406355602816,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.0035650253295898436,0.011540501216471384,-0.0082244873046875,0.0193939208984375,0.027618408203125,0.0234832763671875,0.01111602783203125,-0.0097503662109375,-0.003216981887817383,0.005650162696838379,0.013994216918945312,0.0195343017578125,0.0,4,2,2010,1,0,-0.02348,3
23,23,27.52,28.0,27.27,27.92,212576560,USD,42.5,4,29.1,27.03,31.17,-0.3972,16.14,25.42,18.39,-96.3,80,48,-32.0,-0.008223999999999999,-0.0023977559775553783,0.018680569307280147,0.0006533145904541014,0.017754455049986018,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.0066656112670898425,0.009479733192286793,-0.003932952880859375,0.0193939208984375,0.023326873779296875,0.0234832763671875,0.00609588623046875,-0.0097503662109375,-0.003216981887817383,0.003460526466369629,0.013814926147460938,0.0195343017578125,0.0,5,2,2010,1,0,0.014534,1
24,24,27.95,28.27,27.7,27.73,119567240,USD,33.2,0,28.97,26.89,31.06,-0.4236,17.61,24.25,18.2,-76.0,76,44,-32.0,-0.0010689999999999999,-0.0019548427476276113,0.015268462498495743,0.0005109786987304686,0.017767431449270624,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.005303192138671875,0.011202274829852149,-0.00788116455078125,0.0193939208984375,0.02727508544921875,0.0234832763671875,0.00609588623046875,-0.0097503662109375,-0.006894111633300781,0.003104686737060547,0.013814926147460938,0.0195343017578125,0.0,8,2,2010,1,0,-0.008223999999999999,1
25,25,28.06,28.2,27.81,28.03,158221184,USD,37.28,1,28.88,26.81,30.94,-0.4155,16.89,23.27,18.03,-61.6,72,40,-32.0,-0.003933,-0.0026142302008024328,0.012510042818922606,-0.0044351577758789075,0.013680290760973095,-0.0234832763671875,0.01453399658203125,0.03801727294921875,0.007408905029296875,0.009951855162932602,-0.00788116455078125,0.0193939208984375,0.02727508544921875,0.0234832763671875,-0.0001678466796875,-0.0097503662109375,-0.006894111633300781,0.002763271331787109,0.010562896728515623,0.015019989013671875,0.0,9,2,2010,1,0,-0.0010689999999999999,1
26,26,27.98,28.1,27.75,27.88,92590312,USD,38.94,2,28.78,26.7,30.86,-0.4172,16.39,23.19,17.97,-63.03,68,36,-32.0,0.0194,0.004721949289308437,0.015455717145814538,0.0041402816772460925,0.01210273502918043,-0.0082244873046875,0.0193939208984375,0.027618408203125,0.0033220291137695318,0.007752355330579606,-0.00788116455078125,0.01165771484375,0.01953887939453125,0.0082244873046875,0.00469207763671875,-0.007915496826171875,-0.003216981887817383,0.002777576446533203,0.010562896728515623,0.015019989013671875,0.0,10,2,2010,1,0,-0.003933,3
27,27,27.84,28.55,27.72,28.38,137586048,USD,50.88,3,28.7,26.72,30.69,-0.3733,19.17,21.5,17.1,-37.1,64,32,-32.0,0.01166,0.007033898269114743,0.013138264987604523,0.0035650253295898436,0.011540501216471384,-0.0082244873046875,0.0193939208984375,0.027618408203125,-0.0009458541870117187,0.007888841340662318,-0.00968170166015625,0.0072784423828125,0.01696014404296875,0.00968170166015625,0.00469207763671875,-0.008370208740234373,-0.006894111633300781,-0.0010547637939453123,0.007107734680175781,0.012431335449218749,0.0,11,2,2010,1,0,0.0194,3
28,28,28.3,28.81,27.94,28.62,163867072,USD,47.25,4,28.64,26.73,30.53,-0.3145,20.06,19.84,15.92,-15.55,60,28,-32.0,0.00728,0.0071154136113460486,0.010728091217943363,0.0066656112670898425,0.009479733192286793,-0.003932952880859375,0.0193939208984375,0.023326873779296875,-0.0053419113159179675,0.008274914814434209,-0.01470184326171875,0.006595611572265625,0.02129745483398437,0.01470184326171875,0.00469207763671875,-0.0101837158203125,-0.006894111633300781,-0.0010547637939453123,0.007107734680175781,0.012431335449218749,0.0,12,2,2010,1,0,0.01166,3
29,29,28.84,29.1,28.8,29.06,135987904,USD,47.4,1,28.61,26.73,30.48,-0.2306,21.84,19.0,15.28,26.34,56,24,-32.0,-0.00788,0.002116528154307477,0.011798282689031,0.005303192138671875,0.011202274829852149,-0.00788116455078125,0.0193939208984375,0.02727508544921875,-0.0012937545776367187,0.011167535195481434,-0.01470184326171875,0.012359619140625,0.02706146240234375,0.01470184326171875,0.00469207763671875,-0.0101837158203125,-0.006894111633300781,0.002777576446533203,0.010562896728515623,0.013063049316406249,0.0,16,2,2010,1,0,0.00728,1
