DecisionTree,RandomForest,LR,XGBoost,SVM,LGB,LSTM,close_tomorrow
28.86,28.9142,28.389207142995716,28.772005081176758,40.90296493520103,29.353495982699506,28.436038970947266,28.67
28.67,28.57370000000001,28.693791031066702,28.3884334564209,40.947661422288334,28.992297980682746,28.51287078857422,28.86
28.67,28.70559999999999,28.83224370835504,28.783138275146484,40.946969140037254,28.992297980682746,28.649398803710938,29.23
28.81,28.80229999999999,29.193702987936874,28.98945426940918,40.945266005619516,28.992297980682746,28.812564849853516,29.86
28.47,29.25929999999999,30.02872226500932,28.982820510864258,40.90631485056373,29.353495982699506,29.62991714477539,29.84
30.1,29.774899999999967,30.012853000629367,30.085439682006836,40.87313616118452,29.353495982699506,29.746492385864258,29.9
29.9,29.909000000000038,29.92305969150992,30.00495719909668,40.871794149633104,28.992297980682746,29.594074249267578,30.1
30.1,30.033399999999958,30.310878623028444,30.221820831298828,40.850869435966686,29.353495982699506,29.97148323059082,31.28
30.02,30.43669999999996,31.513286628553164,31.925086975097656,40.85534504737399,29.353495982699506,30.83439826965332,31.3
32.12,31.157599999999956,31.541303650673758,32.06877136230469,40.79633852202814,29.353495982699506,31.14661979675293,31.86
31.86,31.650600000000033,31.90178162576424,32.02710723876953,40.829820954465205,32.126026010117506,31.13037872314453,32.12
32.38,32.191400000000044,32.184665148815746,32.36357879638672,40.823534343865404,32.341781717319215,31.580739974975586,32.22
32.22,32.18509999999998,32.40173018776765,32.15196990966797,40.7811942449065,31.963765788810107,32.04956817626953,32.38
32.38,32.41940000000002,32.36355382147585,32.76069259643555,40.82314021060235,32.7975618420328,32.11338424682617,31.98
31.98,32.12710000000001,32.21705424323754,32.020713806152344,40.77117871639197,32.308460435316135,32.010536193847656,32.06
32.38,32.42219999999998,32.03519915559675,32.59477996826172,40.80856809316805,32.39712347750277,32.121299743652344,32.03
32.06,32.45719999999997,31.98597511767039,32.2884521484375,40.805853510629305,32.90400577200568,32.14434051513672,32.1
32.38,32.48329999999998,32.03904034643439,32.6229248046875,40.80158749754381,32.90400577200568,32.15068435668945,31.75
32.06,32.343799999999966,31.68329544656384,32.31658935546875,40.793390038973996,32.90400577200568,32.051483154296875,32.12
32.78,32.316300000000005,32.41433015786854,32.14141082763672,40.7395487289572,31.412806175909072,32.03965759277344,32.62
32.62,32.511699999999976,32.5564470461966,32.99931335449219,40.796904797699284,32.7975618420328,32.31448745727539,32.78
33.0,32.67349999999999,32.74441131197028,32.99931335449219,40.802511090304066,33.006480137698944,32.560646057128906,32.38
33.2,32.5754,32.627410100554044,32.1685791015625,40.7489510339733,33.11794992738932,32.40652847290039,33.0
33.0,33.03879999999997,33.02822447225307,33.692718505859375,40.802281919956755,33.003252962186615,32.746456146240234,33.2
33.2,33.336199999999955,33.45565344326767,33.218528747558594,40.76702385471492,33.38236661053903,33.06707763671875,33.7
33.7,33.62139999999994,33.65936192434946,33.692718505859375,40.83954376096031,33.689249563075585,33.35791778564453,33.56
34.06,34.055999999999976,33.81672023623409,34.297767639160156,40.80526872177133,34.14330191907914,33.50912857055664,33.72
33.72,33.913799999999945,33.71285059450098,33.692718505859375,40.86788456715172,33.7409923597123,33.67441177368164,34.06
34.06,34.22900000000001,34.33552307453833,34.30355453491211,40.837565780610106,34.238151159551755,33.91935729980469,34.22
34.62,34.322999999999986,34.16322788004794,34.39344787597656,40.91907666451898,34.16470802130869,34.19248962402344,34.38
34.62,34.4731,34.3121921891257,34.39344787597656,40.9428771885473,34.250392790976896,34.4028205871582,34.28
34.62,34.55899999999996,34.55645884168655,34.30355453491211,40.88227404891006,34.85472647662248,34.261863708496094,34.53
34.62,34.64979999999997,34.482906168680735,34.382423400878906,40.95639034694038,34.37776705452735,34.60176086425781,34.62
34.62,34.72739999999996,34.906977424245056,34.64380645751953,40.90578484263577,34.91929185390959,34.57154846191406,34.62
34.62,34.829999999999956,34.89445229467061,34.9678840637207,40.90512946905676,35.36030932354971,34.60185623168945,35.1
35.03,35.30350000000001,35.04859697899599,35.25564956665039,41.00095655639407,35.56353172986311,35.047691345214844,35.56
36.2,35.34775,35.837395882919495,35.41874694824219,40.98386896063754,35.40831934717103,35.410518646240234,35.34
34.94,35.415000000000035,35.30723737209901,34.92788314819336,41.090643705555635,35.694972678815,35.579246520996094,35.3
35.3,35.27255000000002,35.55773101040116,35.3723030090332,41.01731608369823,35.681018421308245,35.33967208862305,34.94
35.3,35.183899999999994,35.208173745486874,35.392879486083984,41.00971263909959,35.52354496899648,35.071659088134766,37.03
37.25,36.9434,37.07415231835255,37.093101501464844,41.1585469443763,36.865390904957934,36.18305206298828,38.06
38.28,38.463000000000044,38.10952246082712,38.249786376953125,41.394321637326115,38.21532317355441,37.22532272338867,38.7
39.16,38.70419999999996,38.82356734017064,39.13511276245117,41.507711149671394,38.07894616026238,38.453125,38.5
38.5,38.519199999999984,38.62507832322625,38.26981735229492,41.79153130339583,38.394274205723825,38.3752326965332,37.44
38.34,37.96750000000003,37.57316773598318,38.00923156738281,41.70472753374854,37.768622763998636,37.67708969116211,37.38
37.06,36.89149999999999,37.44397929775648,36.836814880371094,41.78279962655246,37.047779068435844,38.17982864379883,38.38
38.5,38.6258,38.41559120543611,38.25534439086914,41.82340745044226,37.94769829885349,38.520145416259766,37.3
